,Soenderrivende,Kyssende,Billig,Jagende,Gammel,Fortryllende,Grufuld,Varmende,Fattig,Lang,Oprfriskende,Oedelaeggende,Modbydelig,Roed,Officiel,Lav,Lykkelig,Krammer,Knusende,Kvaelende,Borgerlig,Almindelig,Flirter,International,Huggende,Lynende,Behagelig,Kraftig,Soed,Grundig,Dejlig,Stoedende,Bankende,Daglig,Forkert,Kaertegnende,Skaerende,Hamrende,Venlig,Latter,Sviende,Kloevende,Rigtig,Tynd,Trofast,Heroisk,Forfaerdelig,Frygtelig,Klar,Klassisk,Naturligt,Enormt,Skoldende,Himmelsk,Solskin,Forloebig,Smuk,Grusom,Tom,Draebende,,,,,,
P1,8,1,5,9,6,2,8,2,6,5,4,8,8,5,5,5,2,1,9,10,5,5,1,4,7,8,1,4,3,5,3,6,7,5,5,3,8,8,3,1,8,9,5,5,3,2,6,7,5,5,5,5,8,3,3,5,2,6,6,8,,,,,,
P2,9,2,4,8,5,2,10,3,5,5,3,10,9,3,5,5,2,1,9,9,5,5,2,5,8,9,1,5,2,4,1,9,7,5,5,2,9,8,2,1,9,7,5,5,5,3,9,8,5,5,4,5,10,1,2,5,3,8,6,8,,,,,,
P3,10,1,4,8,5,1,8,2,8,7,2,10,9,5,6,5,1,1,9,10,8,5,2,5,8,8,1,7,2,5,1,8,8,5,6,1,9,8,2,2,8,8,3,5,2,4,9,9,1,3,5,6,9,1,2,5,2,9,8,10,,,,,,
P4,8,3,4,8,10,1,8,2,10,5,3,9,9,5,5,6,3,3,7,8,5,5,3,5,8,7,3,7,5,3,3,5,8,5,10,3,7,8,3,1,8,7,1,5,3,2,8,7,5,5,3,5,7,5,3,5,1,10,7,9,,,,,,
P5,9,3,4,6,8,2,8,3,7,5,4,9,9,5,5,6,2,3,9,9,5,6,4,5,6,6,4,5,3,5,2,6,5,6,6,3,8,6,4,3,7,6,4,5,3,4,9,9,5,5,2,5,7,3,2,5,3,7,6,7,,,,,,
P6,9,2,4,7,6,2,9,1,7,5,2,8,9,6,5,5,1,2,9,10,5,5,2,5,9,10,1,7,3,5,1,8,9,5,6,3,8,8,3,3,7,6,4,5,4,3,10,10,5,5,4,7,10,1,2,5,3,8,5,10,,,,,,
P7,9,2,4,7,6,2,7,3,8,6,6,8,9,7,5,5,2,1,9,9,7,5,4,3,7,8,2,6,3,4,2,7,7,4,7,2,9,8,3,2,7,8,4,6,4,6,9,9,4,6,4,6,8,3,3,5,3,7,8,9,,,,,,
P8,9,2,4,8,7,3,8,3,3,5,2,9,10,5,5,5,1,1,8,9,5,5,4,5,7,8,1,7,3,5,2,8,7,5,6,2,9,8,3,2,9,10,5,5,4,4,8,8,3,5,5,4,8,2,2,5,3,9,8,10,,,,,,
P9,9,2,6,8,6,3,9,4,7,5,3,8,9,6,5,5,1,1,8,9,6,5,3,4,7,8,1,6,2,5,3,7,6,6,7,3,8,7,2,1,8,7,4,3,3,4,9,9,4,5,4,6,8,1,2,4,2,8,7,10,,,,,,
P10,10,1,5,9,6,2,7,3,5,6,3,7,6,6,4,3,1,3,9,8,5,5,3,5,7,9,1,7,2,6,1,8,7,5,6,1,8,7,3,5,9,6,5,3,5,4,8,7,5,5,5,6,8,1,3,5,3,7,6,10,,,,,,
P11,10,4,8,8,5,2,9,2,8,5,3,8,10,5,5,5,1,1,10,10,6,5,3,5,6,8,1,7,1,4,1,8,6,4,6,3,8,9,3,3,8,9,3,6,1,5,10,7,6,3,2,5,9,1,1,6,1,10,7,10,,,,,,
P12,9,1,7,5,4,1,7,2,7,5,3,9,10,5,4,5,3,3,6,6,5,5,4,5,6,5,3,4,2,5,3,7,6,5,6,2,8,6,4,3,7,6,4,6,3,3,9,8,5,4,2,5,5,1,3,6,4,10,6,9,,,,,,
P13,8,1,5,6,5,3,7,3,7,5,3,8,10,5,5,6,1,2,8,8,5,5,1,5,8,5,1,6,1,3,1,7,6,5,6,2,8,5,1,1,10,6,4,5,4,5,6,8,4,5,5,5,7,3,4,5,3,8,6,7,,,,,,
P14,6,1,8,8,8,3,7,2,9,5,3,8,10,2,5,7,2,2,1,10,5,5,3,4,7,8,3,4,1,1,1,10,7,5,8,9,8,6,4,3,8,3,1,10,1,2,9,10,5,5,4,5,8,2,1,5,2,9,5,10,,,,,,
P15,8,5,5,5,5,4,7,5,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,4,7,5,5,5,5,5,5,5,4,5,5,5,5,5,5,,,,,,
P16,9,2,4,7,8,1,9,3,7,6,3,8,10,3,6,6,2,3,9,9,7,5,3,4,7,6,1,5,2,5,3,7,8,5,6,2,9,8,3,2,7,6,4,5,3,4,6,7,5,4,3,5,7,3,3,6,4,8,8,10,,,,,,
P17,7,2,5,7,5,1,10,3,8,5,4,9,10,5,5,5,1,2,8,8,6,5,4,5,5,5,3,5,3,3,2,7,5,5,8,3,7,5,3,3,7,5,3,4,3,3,8,9,3,3,3,5,7,1,2,5,2,9,5,9,,,,,,
P18,10,2,5,8,5,1,10,1,5,5,2,9,10,5,6,4,1,1,10,10,5,5,2,5,9,9,1,6,3,4,2,8,5,5,7,2,8,5,2,2,9,8,3,6,3,3,8,8,5,5,5,5,8,3,3,6,2,9,6,10,,,,,,
P19,8,3,7,7,8,2,9,3,8,6,1,9,8,6,4,5,1,3,8,8,4,4,3,4,9,8,3,7,2,5,2,8,7,5,7,2,7,7,3,2,7,8,3,5,2,1,9,9,3,4,4,7,7,3,3,6,1,10,8,8,,,,,,
P20,7,1,5,9,4,2,9,1,5,5,3,7,8,6,5,5,1,1,7,10,5,5,3,5,7,7,2,6,1,5,1,7,6,6,8,1,8,7,1,1,9,7,5,5,3,4,7,7,4,4,3,5,8,2,1,5,1,8,6,10,,,,,,
P21,8,2,6,8,5,3,8,1,6,6,2,9,10,6,6,6,1,1,7,9,5,5,4,5,8,9,3,8,1,4,1,7,7,5,7,1,9,8,2,2,7,6,3,5,2,3,10,10,5,5,5,5,8,1,1,5,1,10,7,10,,,,,,
P22,9,2,5,8,6,1,9,1,7,6,1,8,10,6,4,5,2,1,6,9,6,5,3,4,8,6,3,4,3,3,1,6,7,4,6,4,9,7,3,3,8,6,4,6,2,3,8,9,2,3,2,5,8,3,1,5,2,10,7,9,,,,,,
P23,3,2,2,10,7,1,10,2,6,5,3,8,9,7,5,5,1,1,8,9,5,4,4,4,1,10,1,7,2,4,2,7,6,5,7,3,10,10,3,4,8,6,4,4,2,3,9,8,2,4,1,5,6,1,1,3,1,7,7,10,,,,,,
