SentType,Sentence_start,Sentence_end
neutral,Hanne var blevet kaldt til samtale hos sin chef -,stemningen var meget formel.
neutral,Ib købte nogle meget billige sko -,læderet var kunstigt.
literal,Laus lever var betændt og hævet -,smerten i maven føltes knusende.
literal,Isak havde fået madforgifnting -,smerten i hans mave føltes vridende.
metaphor,Felix havde næsten intet selvværd tilbage -,hans livskrise føltes kradsende.
neutral,Emil forsøgte at sample IKEA-skabet -,manualen var for teknisk.
literal,Laus lever var betændt og hævet -,smerten i maven føltes knusende.
neutral,Sofie kunne ikke gennemskue hans tryllekunst -,illusionen var uforklarlig.
metaphor,Isak havde sceneskræk forud for premieren -,angsten føltes vridende.
literal,Ole snublede ind i nogle brændenælder -,det føltes svidende.
literal,Den voldsomme kulde frøs om Kims fingre -,smerten føltes prikkende.
literal,Jan fik sidestik da han var ude at løbe -,det føltes stikkende.
neutral,Eva skulle bo på hotel under renoveringen -,ordningen var midlertidig.
literal,Hugo trådte på et søm -,smerten var spiddende.
metaphor,Tine var fortvivlet over sin skilsmisse -,hendes ensomhed føltes knugende.
neutral,Eva skulle bo på hotel under renoveringen -,ordningen var midlertidig.
metaphor,Mads var mistænkt i en mordsag -,hans angst for politiafhøringen var dunkende.
literal,Sara fik fingeren i klemme da hun lukkede bildøren -,smerten var buldrende.
metaphor,Lea skulle tage en livsvigtig beslutning -,hendes indre splittelse føltes jagende.
literal,Vibeke led af svær ledgigt -,enhver bevægelse føltes borende.
metaphor,Jane blev forrådt af sin bedste ven -,fornærmelsen føltes smældende. 
metaphor,Sofia mistænkte sin mand for utroskab -,hendes jalousi føltes flænsende.
metaphor,Sara var selvmordstruet og deprimeret -,hendes indre mørke føltes buldrende.
neutral,Magnus kunne ikke klippe i papiret med sin gamle saks -,den var sløv.
metaphor,Jens var ikke sikker på han havde gjort det rigtige -,hans tvivl var nagende.
literal,Jane fik en diskusprolaps -,jaget føltes smældende.
literal,Mads blev stukket i armen af en bi -,smerten var dunkende.
neutral,Sven fulgte balletdanseren opmærksomt -,sendes bevægelser var hypnotiserende.
metaphor,Laus forslag blev enstemmigt afvist -,nederlaget var knusende.
neutral,Carl kunne ikke høre sin kone i det andet værelse -,hendes stemme var dæmpet.
metaphor,Vibekes kæreste troede ikke på hendes løgn -,hans blik føltes borende.
neutral,Hanne var blevet kaldt til samtale hos sin chef -,stemningen var meget formel.
literal,Jens havde tandpine -,det føltes nagende.
metaphor,Nils blev taget i at begå underslæb -,hans fiasko var dundrende.
metaphor,Ida kom fra en meget religiøs kultur -,familiens bånd føltes strammende.
literal,Felix løb gennem et brombrækrat -,det føltes kradsende.
neutral,Laura malede pletten på væggen over -,ændringen var kosmetisk.
literal,Eriks fingre blev ødelagt af frosten - ,smerten var bidende.
literal,Hugo trådte på et søm -,smerten var spiddende.
metaphor,Kim pralte uhæmmet om sine bedrifter -,hans venners stilhed var prikkende.
metaphor,Mads var mistænkt i en mordsag -,hans angst for politiafhøringen var dunkende.
literal,Den voldsomme kulde frøs om Kims fingre -,smerten føltes prikkende.
neutral,Helle gik altid i en sort t-shirt og sorte leggings -,hendes stil var ret almindelig.
literal,Sara fik fingeren i klemme da hun lukkede bildøren -,smerten var buldrende.
neutral,Emil forsøgte at sample IKEA-skabet -,manualen var for teknisk.
neutral,Liva forsøgte at løse problemet -,hendes tanker var strategiske.
metaphor,Vibekes kæreste troede ikke på hendes løgn -,hans blik føltes borende.
literal,Sofia havde fået nyresten -,smerten føltes flænsende.
metaphor,Kim pralte uhæmmet om sine bedrifter -,hans venners stilhed var prikkende.
neutral,Anna holdt af at brodere -,hendes søm var komplicerede.
neutral,Sven fulgte balletdanseren opmærksomt -,hendes bevægelser var hypnotiserende.
metaphor,Hugo revsede borgmesteren i det lokale dagblad -,hans kritik var spiddende.
neutral,Elias kom -som sædvanlig- hjem fra arbejde kl - 17 -,hans dag var ganske typisk.
literal,Emma vågnede med en sovende fod -,smerten føltes snurrende.
literal,Lea var lige ankommet til fødestuen -,veerne føltes jagende.
neutral,Laura malede pletten på væggen over -,ændringen var kosmetisk.
metaphor,Jans kæreste så ham med en yngre kvinde -,hendes blik var stikkende.
neutral,Tue var overrasket over at se sin gymnasieven -,besøget var uventet.
literal,Eriks fingre blev ødelagt af frosten -,smerten var bidende.
neutral,Ib købte nogle meget billige sko -,læderet var kunstigt.
neutral,Clara gik hen over det polerede og skinnende gulv -,lyden var knirkende.
literal,Nils havde haft migræne i flere dage -,det føltes dundrende.
metaphor,Jens var ikke sikker på han havde gjort det rigtige -,hans tvivl var nagende.
literal,Nora havde løbet et marathon -,smerten i brystet føltes trykkende.
neutral,Sofie kunne ikke gennemskue hans tryllekunst -,illusionen var uforklarlig.
metaphor,Jane blev forrådt af sin bedste ven -,fornærmelsen føltes smældende. 
literal,Nils havde haft migræne i flere dage -,det føltes dundrende.
neutral,Elias kom -som sædvanlig- hjem fra arbejde kl - 17 -,hans dag var ganske typisk.
literal,Mads blev stukket i armen af en bi -,smerten var dunkende.
literal,Tine var ved at blive kvalt af den tætte røg -,smerten i brystet føltes knugende.
neutral,Ulfs nye bil lignede den gamle rigtig meget -,ændringen var minimal.
metaphor,Erik var en politisk stand-up-komiker -,hans sarkasme var bidende.
metaphor,Oles fodboldhold tabte lokalopgøret 0-4 -,nederlaget var svidende.
neutral,Noah bød 500 kr for den brugte telefon -,hans bud var endeligt.
literal,Sofia havde fået nyresten -,smerten føltes flænsende.
metaphor,Emma var plaget af skyld -,hendes negative tanker føltes snurrende.
neutral,Dana rejste til Kina for første gang -,alt virkede så fremmed.
literal,Jane fik en diskusprolaps -,jaget føltes smældende.
literal,Tine var ved at blive kvalt af den tætte røg -,smerten i brystet føltes knugende.
metaphor,Jans kæreste så ham med en yngre kvinde -,hendes blik var stikkende.
literal,Lea var lige ankommet til fødestuen -,veerne føltes jagende.
neutral,Noah bød 500 kr for den brugte telefon -,hans bud var endeligt.
metaphor,Hugo revsede borgmesteren i det lokale dagblad -,hans kritik var spiddende.
literal,Felix løb gennem et brombrækrat -,det føltes kradsende.
neutral,Sofia blev bedt om at spænde sin sikkerhedssele på flyet -,instruktionen var nødvendig.
metaphor,Lea skulle tage en livsvigtig beslutning -,hendes indre splittelse føltes jagende.
metaphor,Emma var plaget af skyld -,hendes negative tanker føltes snurrende.
metaphor,Tine var fortvivlet over sin skilsmisse -,hendes ensomhed føltes knugende.
neutral,Liva forsøgte at løse problemet -,hendes tanker var strategiske.
metaphor,Nora frygtede at censor ville dumpe hende -,atmosfæren var trykkende.
literal,Vibeke led af svær ledgigt -,enhver bevægelse føltes borende.
literal,Ida fik et hjerteanfald i sidste uge - ,smerten i brystet føltes strammende.
metaphor,Sofia mistænkte sin mand for utroskab -,hendes jalousi føltes flænsende.
neutral,Dana rejste til Kina for første gang -,alt virkede så fremmed.
neutral,Magnus kunne ikke klippe i papiret med sin gamle saks -,den var sløv.
metaphor,Nils blev taget i at begå underslæb -,hans fiasko var dundrende. 
literal,Emma vågnede med en sovende fod -,smerten føltes snurrende.
metaphor,Erik var en politisk stand-up-komiker -,hans sarkasme var bidende.
literal,Ida fik et hjerteanfald i sidste uge -,smerten i brystet føltes strammende.
neutral,Alma var uenig med sin veninde men forholdt sig tavs -,hendes reaktion var pragmatisk.
metaphor,Isak havde sceneskræk forud for premieren -,angsten føltes vridende.
literal,Jens havde tandpine -,det føltes nagende.
neutral,Sofia blev bedt om at spænde sin sikkerhedssele på flyet -,instruktionen var nødvendig.
literal,Isak havde fået madforgifnting -,smerten i hans mave føltes vridende.
metaphor,Oles fodboldhold tabte lokalopgøret 0-4 -,nederlaget var svidende.
metaphor,Nora frygtede at censor ville dumpe hende -,atmosfæren var trykkende.
literal,Jan fik sidestik da han var ude at løbe -,det føltes stikkende.
neutral,Clara gik hen over det polerede og skinnende gulv -,lyden var knirkende.
neutral,Carl kunne ikke høre sin kone i det andet værelse -,hendes stemme var dæmpet.
metaphor,Ida kom fra en meget religiøs kultur -,familiens bånd føltes strammende.
metaphor,Sara var selvmordstruet og deprimeret -,hendes indre mørke føltes buldrende.
literal,Nora havde løbet et marathon -,smerten i brystet føltes trykkende.
neutral,Helle gik altid i en sort t-shirt og sorte leggings -,hendes stil var ret almindelig.
neutral,Ulfs nye bil lignede den gamle rigtig meget -,ændringen var minimal.
metaphor,Laus forslag blev enstemmigt afvist -,nederlaget var knusende.
neutral,Alma var uenig med sin veninde men forholdt sig tavs -,hendes reaktion var pragmatisk.
literal,Ole snublede ind i nogle brændenælder -,det føltes svidende.
neutral,Tue var overrasket over at se sin gymnasieven -,besøget var uventet.
metaphor,Felix havde næsten intet selvværd tilbage -,hans livskrise føltes kradsende.
neutral,Anna holdt af at brodere -,hendes søm var komplicerede.
